ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z
1,1,675,1131,883,54,844,25,862.6888888888889,37.912592592592596,1.31564870955907,0.7211733017361804,29.316150714175198,1,0.596816976127321,0.7600813140577187,35.97785442191857,38.2099463490856,12.041594578792296,4.5397253252494405,4.123105625617661,24.14953415699773,24.923827603642355,65.25776288668249,105.63961030678928,0.9375,862.6888888888889,37.912592592592596,0
1,2,991,1980,1014,71,970,26,994.0898082744702,48.215943491422806,1.5667245561333163,0.8656672293298578,35.52154823248202,1,0.5005050505050505,0.6382742876437737,50.97829883525328,49.73932046178355,12.041594578792296,4.964747722452343,4.47213595499958,24.28348786326688,25.520749021352444,-43.09174172482749,139.68124086713192,0.9158964879852126,994.0898082744702,48.215943491422806,0
1,3,954,1591,912,72,869,35,890.5534591194969,54.564989517819704,1.344404255804636,0.6581885330643024,34.8521236896311,1,0.5996228786926462,0.7438238875564199,40.9011505910671,43.68065933568311,13.892443989449804,5.338376759882241,5.0,29.698484809834994,30.79255977528153,56.45766177317687,126.95331880577405,0.9253152279340446,890.5534591194969,54.564989517819704,0
1,4,2349,3519,129,118,78,49,101.94338016177096,82.25627926777352,1.474862065942299,0.8241022839984994,54.68857001771848,1,0.6675191815856778,0.6780295073635197,73.09733899637725,73.00684899377592,19.235384061671343,7.777356953966306,7.0710678118654755,41.376777736419456,41.4053310261621,-26.27527956314691,208.65180361560903,0.9445114595898673,101.94338016177096,82.25627926777352,0
1,5,1283,2450,237,105,187,56,207.96492595479344,78.34060795011692,2.15360862872352,0.7216286527279522,40.41740139958547,1,0.523673469387755,0.4643369211390636,52.67074163579285,55.0,13.45362404707371,5.137835648409061,4.47213595499958,42.611914776255674,36.462919628080535,-59.42739643946144,186.33809511662426,0.8156389065479974,207.96492595479344,78.34060795011692,0
1,6,2440,4189,579,115,508,56,540.9286885245901,85.4594262295082,1.5993915277699684,0.8633687293900494,55.73781919983771,1,0.5824779183576032,0.6252377748894918,78.8959992289724,79.75587752636166,19.72308292331602,7.756037385630112,7.0710678118654755,40.77046442255434,39.8088320469299,54.056932930450955,221.45079348883235,0.9373799462159047,540.9286885245901,85.4594262295082,0
1,7,1375,2040,641,106,590,66,614.0545454545454,84.29527272727273,1.2539471003245173,0.7242047310897194,41.84141935942002,1,0.6740196078431373,0.7974818074392479,50.901717576838436,50.92150822589606,16.64331697709324,6.4925483261792305,5.830951894845301,34.367858262170806,35.10106221592811,-69.05577520648515,147.19595949289334,0.9541984732824428,614.0545454545454,84.29527272727273,0
1,8,1004,1512,1022,103,994,49,1010.1972111553785,78.2101593625498,1.643150668908161,0.8742838681724262,35.75377606511099,1,0.6640211640211641,0.6085869171477007,54.23161689013013,53.46026561849464,12.36931687685298,4.750477172453236,4.123105625617661,27.0,26.324840068523528,-7.79866242236291,143.98275605729688,0.8940338379341051,1010.1972111553785,78.2101593625498,0
1,9,1741,2400,914,126,854,86,884.1194715680643,104.62607696726019,1.3213376149508456,0.7648156190870554,47.081950335387745,1,0.7254166666666667,0.7568088493698111,59.172492667623615,61.68468205316454,18.681541692269406,7.062678512717181,6.324555320336759,38.67453741621193,38.121832766880964,70.62429406433803,170.02438661763952,0.9431202600216685,884.1194715680643,104.62607696726019,0
1,10,4894,8250,355,165,280,55,316.54740498569674,109.95239068246833,2.731393236728516,0.8539758491413283,78.93816777664583,1,0.5932121212121212,0.3661135227814119,112.96014989765658,119.4361754243663,27.018512172212592,8.863060363446946,7.810249675906654,64.06787266401396,58.774594431078114,23.222469981894385,409.8538597629122,0.8419060725959058,316.54740498569674,109.95239068246833,0
1,11,2076,3344,758,193,714,117,735.7027938342967,153.07899807321772,1.7452959935031198,0.8737970722292514,51.41250134811764,1,0.6208133971291866,0.5729687134574932,74.56777258353756,76.2954782408499,18.0,6.74756592738271,6.0,38.65730870423957,36.26161675423753,17.569687915862957,213.3797256769669,0.8963730569948186,735.7027938342967,153.07899807321772,0
1,12,1385,3182,612,221,569,147,589.7696750902527,178.4043321299639,2.3244738569505095,0.9509118136985906,41.99329433919421,1,0.43526084223758643,0.43020488142288926,78.21229968641128,81.49233092751734,12.083045973594572,4.809706492587699,4.242640687119285,24.803950392148824,24.20373381670634,27.17264943383299,201.1370849898476,0.8544108574953733,589.7696750902527,178.4043321299639,0
1,13,1776,2772,797,206,755,140,778.2291666666666,170.45326576576576,1.4316949524779123,0.8417779849697901,47.55284882580274,1,0.6406926406926406,0.6984728124306407,65.73843471325868,66.70832032063167,18.439088914585774,6.837233782362653,6.082762530298219,38.8,35.487177050467274,17.540957238858194,178.75230867899734,0.9477054429028815,778.2291666666666,170.45326576576576,0
1,14,944,1760,441,185,401,141,419.95021186440675,161.89724576271186,1.4617259679844776,0.8522544851908417,34.668979365276876,1,0.5363636363636364,0.6841227575500111,49.21137181778176,47.4236228055175,12.206555615733702,4.883479860146251,4.242640687119285,26.549539521063032,25.743817734578325,38.177027178997804,131.6812408671319,0.9346534653465347,419.95021186440675,161.89724576271186,0
1,15,651,1152,453,207,421,171,438.0430107526882,189.84331797235023,1.5075654694635712,0.6330106090762379,28.79025779013781,1,0.5651041666666666,0.6633211096005167,34.58532051924291,35.90264614203248,11.180339887498949,4.118068831959294,3.605551275463989,27.828043409481737,26.773987900657232,29.593754618898775,111.05382386916237,0.8979310344827586,438.0430107526882,189.84331797235023,0
1,16,1275,1728,877,200,829,164,852.9403921568628,181.24470588235295,1.3452352185239123,0.7299547999648327,40.29119531035698,1,0.7378472222222222,0.7433644215004058,49.17065509622007,53.33854141237835,16.278820596099706,6.20553548480105,5.385164807134504,32.64659247149693,33.607917587144335,-67.80369247240158,146.8111831820431,0.9299781181619255,852.9403921568628,181.24470588235295,0
1,17,1509,2704,563,218,511,166,538.9893969516236,189.45526838966202,1.5952154039215063,0.8851202216341332,43.8328469644097,1,0.5580621301775148,0.6268745885613362,65.15710252087469,64.66065264130884,14.7648230602334,5.906557810415926,5.385164807134504,29.376962453612986,30.3216677008057,43.27120553910607,173.92388155425115,0.9303329223181258,538.9893969516236,189.45526838966202,0
1,18,1523,2430,707,214,653,169,679.9389363099147,189.91529875246223,1.9191815242004981,0.7884155092156374,44.03571081101852,1,0.6267489711934157,0.5210554537912118,57.19750671488082,59.413803110051795,16.0,5.954562535886915,5.0990195135927845,37.334745367804935,35.18464933109429,60.19911665973762,191.65180361560903,0.8803468208092485,679.9389363099147,189.91529875246223,0
1,19,570,1054,268,208,234,177,249.6701754385965,194.43684210526317,1.54372377444602,0.8649939802677497,26.939683377854365,1,0.540796963946869,0.6477842840496899,39.44406935370779,40.607881008493905,9.433981132056603,3.828483621299848,3.605551275463989,20.2714068654776,19.79233338545053,58.10930029185774,105.15432893255071,0.8755760368663594,249.6701754385965,194.43684210526317,0
1,20,478,644,723,220,700,192,710.6924686192468,207.1276150627615,1.5105541151753397,0.5785783932807175,24.669991941291908,1,0.7422360248447205,0.6620087224640235,28.14020818015364,28.792360097775937,10.04987562112089,3.7467070075935562,3.1622776601683795,22.0,22.9519073619354,3.1518182515088258,95.25483399593904,0.8851851851851852,710.6924686192468,207.1276150627615,0
1,21,518,957,251,231,222,198,235.32239382239382,214.5791505791506,1.6798189867650715,0.7963567698506486,25.68147355921802,1,0.5412748171368861,0.5953022366569152,34.42604345637351,34.17601498127012,8.54400374531753,3.458834775958852,3.0,21.46625258399798,20.82180614041063,-29.80863939192912,104.5685424949238,0.8381877022653722,235.32239382239382,214.5791505791506,0
1,22,1694,2744,546,265,497,209,521.6629279811098,235.1646989374262,1.4019239335798837,0.8254829344135534,46.44209070209227,1,0.6173469387755102,0.7133054626198224,62.47040916096269,61.220911460055866,16.97056274847714,6.686179138895988,6.082762530298219,36.31115531073061,35.259990427395685,35.95545857160434,172.75230867899737,0.9266958424507659,521.6629279811098,235.1646989374262,0
1,23,1153,1782,720,260,666,227,692.5403295750217,243.42844752818735,2.840029825268583,0.8228900640006721,38.31507790778511,1,0.6470258136924804,0.3521089782588567,54.03536537069626,54.70831746635972,13.038404810405298,4.706667376436177,4.0,32.0,30.702928010484882,89.33477541969376,202.8528137423857,0.7681545636242505,692.5403295750217,243.42844752818735,0
1,24,1715,2610,824,268,766,223,799.3725947521866,243.7947521865889,1.6883621887391245,0.6923540327844404,46.72906824687182,1,0.657088122605364,0.5922899758533469,56.16151437810798,62.64982043070834,19.313207915827967,6.945764622328851,6.0,43.10769315967942,40.52378788713758,54.81493416801123,190.75230867899737,0.9093319194061505,799.3725947521866,243.7947521865889,0
1,25,1368,2091,127,280,76,239,100.50365497076024,259.62719298245617,1.365207484839587,0.8325527766499977,41.73477802981229,1,0.6542324246771879,0.7324893916161769,56.490973464379294,58.52349955359813,15.620499351813308,6.236356372202259,5.656854249492381,31.163937672186986,31.292933651776742,59.79296367201106,153.1959594928933,0.9486823855755895,100.50365497076024,259.62719298245617,0
1,26,1305,2343,333,277,300,206,314.8383141762452,246.26130268199233,2.1954616415419754,0.933163604395401,40.76245338395847,1,0.5569782330345711,0.45548507023682416,70.98305782588773,71.30918594402827,13.0,4.873705395607905,4.123105625617661,25.89322157462736,25.514996881139815,13.61947310838304,189.7462120245875,0.8781965006729475,314.8383141762452,246.26130268199233,0
1,27,487,1092,737,273,695,247,717.564681724846,260.95687885010267,3.4679149563676637,0.9296416681200516,24.901157769991823,1,0.445970695970696,0.288357705590166,45.94838120787561,44.41846462902562,6.708203932499369,2.4691655719496404,2.23606797749979,19.02326510840385,16.930364836637214,-65.46053326745134,145.6812408671319,0.6987087517934003,717.564681724846,260.95687885010267,0
1,28,1909,3078,920,303,866,246,892.6757464641173,272.99004714510215,1.8046231134135235,0.8607647305846953,49.301260540674065,1,0.6202079272254711,0.554132324121936,69.61643579795367,70.83784299369935,16.97056274847714,6.625732665896945,6.0,34.92324027952209,35.43497635085555,39.99764522891048,208.06601717798213,0.93486777668952,892.6757464641173,272.99004714510215,0
1,29,1968,3233,1005,310,952,249,976.6189024390244,281.4512195121951,1.7546062960744928,0.8283375333181908,50.057321382978536,1,0.6087225487163626,0.5699284233946146,68.03169388072098,68.26419266350405,17.029386365926403,6.75016853529507,6.082762530298219,39.75496212518207,38.113352024408016,37.916956978031564,208.3086578651014,0.9060773480662984,976.6189024390244,281.4512195121951,0
1,30,1524,2856,506,317,450,266,476.99015748031496,292.5807086614173,1.6160498985209415,0.9045239895674184,44.05016533653861,1,0.5336134453781513,0.6187927742300722,68.48208522073584,70.83784299369935,14.422205101855956,5.792535777231417,5.385164807134504,31.598080154317437,29.202318349108186,46.13498232950107,175.92388155425118,0.9264437689969605,476.99015748031496,292.5807086614173,0
1,31,1136,1638,460,331,418,292,436.5035211267606,312.21390845070425,1.3270847950241975,0.7742767576168722,38.03156745151513,1,0.6935286935286935,0.7535313521407397,48.55394521146026,51.85556864985669,15.0,5.771641524847224,5.0,31.81980515339464,30.72722536310096,49.85687573752409,137.63961030678928,0.9474562135112594,436.5035211267606,312.21390845070425,0
1,32,1223,2400,96,355,46,307,72.59525756336876,329.7465249386754,1.6966896146393806,0.8231057066843692,39.46101827387509,1,0.5095833333333334,0.5893829910737934,53.86687609641192,52.773099207835045,14.317821063276353,5.3308951532253035,5.0,29.985362282612364,30.59036273329986,46.37533193755539,161.48023074035524,0.9167916041979011,72.59525756336876,329.7465249386754,0
1,33,3037,5607,413,376,350,287,380.0302930523543,327.18801448798155,2.2201531254490954,0.8272046962971938,62.18382826234397,1,0.5416443731050473,0.45041938258097347,85.46344177740124,94.33981132056604,22.80350850198276,8.089239329928889,7.0710678118654755,47.62933808225605,48.02196728484503,26.394988962359008,291.0843071412118,0.8895723491505565,380.0302930523543,327.18801448798155,0
1,34,1661,2520,248,352,192,307,217.61529199277544,329.0872968091511,1.4241023074468502,0.7449910008454972,45.98750791035654,1,0.6591269841269841,0.7021967416040589,56.861123412765416,57.38466694161429,17.11724276862369,6.838949047392121,6.082762530298219,38.01315561749642,37.930606327048636,69.52397656508973,172.40916292848974,0.9161610590182019,217.61529199277544,329.0872968091511,0
1,35,428,750,572,372,542,347,556.2803738317757,359.48364485981307,2.8072532189830786,0.7091333781051568,23.34408972623798,1,0.5706666666666667,0.356220092023707,30.870408355250575,34.828149534535996,7.615773105863909,2.7261654605620467,2.23606797749979,21.2908874120468,21.765933390543886,52.80952526077508,122.87615433949867,0.7417677642980935,556.2803738317757,359.48364485981307,0
1,36,2113,3124,893,395,849,324,870.4268812115475,360.4249881684808,1.8079297158762688,0.7997590875640358,51.86863366260383,1,0.6763764404609475,0.5531188470539183,67.53347680031361,72.53275122315436,19.235384061671343,7.354970912196276,6.4031242374328485,41.43157347843401,40.54176988452169,11.616627210699567,219.10155108391487,0.8964785744590581,870.4268812115475,360.4249881684808,0
1,37,2969,4620,244,410,174,344,208.1050858875042,374.63994610980126,2.1852230012749896,0.46816402171115,61.483723116925006,1,0.6426406926406927,0.45761919923803673,66.35540048707679,70.21395872616783,25.495097567963924,8.822307226860175,7.615773105863909,59.66376375893791,58.63439118589113,65.47124653512546,285.5340546095176,0.8671144859813084,208.1050858875042,374.63994610980126,0
