Count_Centriole,Count_Cilia,Count_Nucleus,ImageNumber
335.0,226.0,133.0,1
303.0,258.0,162.0,2
324.0,244.0,185.0,3
318.0,220.0,159.0,4
360.0,181.0,124.0,5
327.0,255.0,160.0,6
296.0,184.0,139.0,7
258.0,245.0,157.0,8
46.0,247.0,166.0,9
248.0,221.0,140.0,10
289.0,230.0,155.0,11
319.0,272.0,141.0,12
455.0,270.0,189.0,13
370.0,193.0,138.0,14
344.0,259.0,212.0,15
448.0,185.0,136.0,16
407.0,286.0,191.0,17
