Count_Centriole,Count_Cilia,Count_Nucleus,ImageNumber
71.0,28.0,90.0,1
40.0,44.0,122.0,2
46.0,54.0,132.0,3
40.0,37.0,111.0,4
28.0,67.0,123.0,5
61.0,32.0,66.0,6
34.0,51.0,100.0,7
48.0,43.0,40.0,8
43.0,35.0,73.0,9
17.0,47.0,108.0,10
14.0,34.0,123.0,11
33.0,37.0,112.0,12
52.0,35.0,62.0,13
38.0,36.0,79.0,14
38.0,34.0,48.0,15
42.0,31.0,66.0,16
40.0,35.0,117.0,17
21.0,37.0,110.0,18
26.0,44.0,96.0,19
