Count_Centriole,Count_Cilia,Count_Nucleus,ImageNumber
25.0,28.0,90.0,1
32.0,44.0,122.0,2
16.0,54.0,132.0,3
41.0,37.0,111.0,4
32.0,67.0,123.0,5
30.0,32.0,66.0,6
26.0,51.0,100.0,7
22.0,43.0,40.0,8
37.0,35.0,73.0,9
27.0,47.0,108.0,10
18.0,34.0,123.0,11
39.0,37.0,112.0,12
32.0,35.0,62.0,13
21.0,36.0,79.0,14
26.0,34.0,48.0,15
19.0,31.0,66.0,16
27.0,35.0,117.0,17
27.0,37.0,110.0,18
32.0,44.0,96.0,19
