Count_Centriole,Count_Cilia,Count_Nucleus,ImageNumber
583.0,426.0,326.0,1
528.0,366.0,319.0,2
577.0,439.0,382.0,3
544.0,385.0,379.0,4
513.0,395.0,443.0,5
533.0,481.0,364.0,6
571.0,448.0,318.0,7
655.0,349.0,293.0,8
